Year,Team,Batting_R/G,Batting_G,Pitching_W,Pitching_L,Pitching_W-L%,Batting_BA,Batting_OBP,Batting_SLG,Batting_OPS,Pitching_ERA,Pitching_RA9,Pitching_WHIP,FIP,Batting_BatAge,Batting_PA,Batting_AB,Batting_R,Batting_H,Batting_2B,Batting_3B,Batting_HR,Batting_RBI,Batting_SB,Batting_CS,Batting_BB,Batting_SO,Batting_TB,Batting_HBP,Batting_SH,Batting_SF,Pitching_PAge,Pitching_R/G,Pitching_G,Pitching_GS,Pitching_GF,Pitching_CG,Pitching_SV,Pitching_IP,Pitching_H,Pitching_R,Pitching_ER,Pitching_HR,Pitching_BB,Pitching_SO,Pitching_H9,Pitching_HR9,Pitching_BB9,Pitching_SO9,Pitching_SO/W,Pitching_IP_decimal
2024,Ottawa Titans,4.91,95,53,42,0.558,0.259,0.354,0.375,0.729,4.2,4.68,1.474,4.427,26.3,3600,3058,466,791,135,10,67,436,85,24,373,660,1147,104,22,43,25.7,4.39,95,95,91,4,28,802.2,808,417,375,51,375,626,9.1,0.6,4.2,7,1.67,802.6666666666666
2024,Schaumburg Boomers,5.56,96,51,45,0.531,0.264,0.366,0.383,0.749,4.5,5.16,1.449,4.395,25.9,3782,3175,534,839,156,22,59,476,126,30,466,588,1216,73,22,46,26,5,96,96,95,1,25,837.1,825,480,419,74,388,803,8.9,0.8,4.2,8.6,2.07,837.3333333333334
2024,Sussex County Miners,3.96,96,33,63,0.344,0.256,0.334,0.355,0.689,4.99,6.04,1.559,4.625,24.9,3520,3072,380,785,132,6,54,354,98,27,327,674,1091,51,41,29,25.2,5.61,96,96,94,2,20,802.2,878,539,445,82,373,730,9.8,0.9,4.2,8.2,1.96,802.6666666666666
2024,Tri-City Valley Cats,5.62,94,53,41,0.564,0.261,0.344,0.378,0.723,4.51,5.18,1.441,5.043,25.6,3676,3189,528,833,147,13,67,485,117,30,360,673,1207,63,25,39,24.9,5.07,94,94,90,4,19,829.1,832,477,416,100,363,662,9,1.1,3.9,7.2,1.82,829.3333333333334
2024,Washington WildThings,5.31,95,67,28,0.705,0.266,0.358,0.435,0.794,3.19,3.62,1.155,3.851,25.6,3665,3146,504,837,157,20,112,472,142,43,410,796,1370,60,18,31,25.4,3.55,95,95,92,3,35,839,718,337,297,71,251,798,7.7,0.8,2.7,8.6,3.18,839
2024,Windy City ThunderBolts,4.07,96,40,56,0.417,0.235,0.31,0.341,0.651,4.63,5.42,1.511,4.236,24.6,3514,3107,391,731,130,23,51,354,128,65,291,896,1060,56,37,23,24.5,5.22,96,96,93,3,20,831.1,825,501,428,51,431,775,8.9,0.6,4.7,8.4,1.8,831.3333333333334
2025,Aigles de Trois-Rivières,5.95,95,38,56,0.404,0.27,0.358,0.4,0.758,6.25,7.28,1.69,5.391,25.9,3742,3232,565,872,166,4,82,520,174,25,400,713,1292,63,12,35,25.5,6.96,95,95,95,0,11,817,957,661,567,87,424,705,10.5,1,4.7,7.8,1.66,817
2025,Brockton Rox,4.8,92,38,54,0.413,0.263,0.346,0.387,0.733,5.38,6.34,1.659,5.222,24.7,3431,3003,442,791,138,12,70,399,102,23,311,652,1163,77,20,20,24,5.87,92,92,90,2,17,766.1,804,540,458,68,467,704,9.4,0.8,5.5,8.3,1.51,766.3333333333334
2025,Capitales de Québec,6.44,96,67,29,0.698,0.286,0.39,0.447,0.836,3.79,4.38,1.224,4.27,26.6,3884,3216,618,919,204,11,97,564,99,31,505,664,1436,81,23,59,26.2,4.26,96,96,94,2,25,840.2,741,409,354,75,288,824,7.9,0.8,3.1,8.8,2.86,840.6666666666666
2025,Down East Bird Dawgs,4.79,95,37,55,0.402,0.248,0.333,0.368,0.701,5.98,6.89,1.667,5.464,25,3611,3127,455,774,121,3,83,420,127,29,337,753,1150,87,13,47,24.8,6.54,95,95,91,4,16,811.2,855,621,539,61,498,610,9.5,0.7,5.5,6.8,1.22,811.6666666666666
