Variable,Resolved Column,Category,Coefficient,Intercept,Std Err,Robust Std Err,P-value,Robust P-value,t-stat,R-squared,Adjusted R-squared,F-statistic,F-statistic p-value,CI Lower,CI Upper,Breusch-Pagan p-value,White test p-value,Jarque-Bera p-value,JB Statistic,Residual Skewness,Residual Kurtosis,Uses Robust SE?,Observations,Sign,Significance Stars,Max Cook's Distance,Influential Observations,High Leverage Count,Max Leverage,Interpretation,Warning Summary,Assumption Violation Score
Batting_BatAge,Batting_BatAge,Offense,0.0496,-0.7716,0.0152,,0.0017,,3.2559,0.11964755627573931,0.10836098648440262,10.600878609511474,0.0016736346203682425,0.0193,0.08,0.3794,0.6772,2.512468586962949e-05,21.183319388729014,-0.8630584925387819,4.837257731088767,False,80,+,***,0.1912421754983478,3,4,0.1146860828049725,Batting_BatAge has a statistically significant positive relationship with WinPct and explains approximately 12.0% of the variation in team winning percentage. Batting_BatAge residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,4 observations exceed the leverage threshold of 0.0500. | 3 observations exceed the Cook's distance threshold of 0.0500.,1.6912421754983478
SO9,Pitching_SO9,Pitching,0.0413,0.1647,0.0153,,0.0084,,2.706,0.08582260763004246,0.07410238465094043,7.322608774856091,0.00836037581662069,0.0109,0.0717,0.0585,0.0983,0.001568769882389829,12.914926962262276,-0.7457889726605583,4.284396092220121,False,80,+,***,0.3275833421014992,3,5,0.07808252248848024,SO9 has a statistically significant positive relationship with WinPct and explains approximately 8.6% of the variation in team winning percentage. SO9 residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,5 observations exceed the leverage threshold of 0.0500. | 3 observations exceed the Cook's distance threshold of 0.0500.,1.8775833421014994
Batting_AB,Batting_AB,Offense,0.0004,-0.6922,0.0002,,0.0253,,2.2808,0.0625231457048454,0.05050421167542041,5.202054154867204,0.025289881795248857,0.0,0.0007,0.4534,0.4512,8.040285286825437e-08,32.672432355910026,-0.9356260043997866,5.510009088895211,False,80,+,**,0.10916637073361746,5,5,0.16416422011252219,Batting_AB has a statistically significant positive relationship with WinPct and explains approximately 6.3% of the variation in team winning percentage. Batting_AB residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,5 observations exceed the leverage threshold of 0.0500. | 5 observations exceed the Cook's distance threshold of 0.0500.,1.8591663707336175
Batting_HBP,Batting_HBP,Offense,0.0015,0.3863,0.0007,,0.0344,,2.1535,0.0561198614542765,0.04401883403702367,4.637611296894047,0.034367458318346505,0.0001,0.0029,0.0975,0.2272,5.246594738354603e-05,19.710692440156528,-0.7879249663863511,4.85200019476976,False,80,+,**,0.17278509150428584,3,4,0.11553455549687924,Batting_HBP has a statistically significant positive relationship with WinPct and explains approximately 5.6% of the variation in team winning percentage. Batting_HBP residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,4 observations exceed the leverage threshold of 0.0500. | 3 observations exceed the Cook's distance threshold of 0.0500.,1.672785091504286
Batting_SB,Batting_SB,Offense,0.0005,0.4359,0.0003,,0.1019,,1.6554,0.033939608911273234,0.021554219281930576,2.7402940018023965,0.10186508432316835,-0.0001,0.0012,0.2572,0.2894,8.479736491581726e-05,18.75049217951031,-0.864064027728304,4.6244140721493565,False,80,+,,0.28430965710552586,3,7,0.12162134751910811,Batting_SB has a not statistically significant positive relationship with WinPct and explains approximately 3.4% of the variation in team winning percentage. Batting_SB residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,7 observations exceed the leverage threshold of 0.0500. | 3 observations exceed the Cook's distance threshold of 0.0500.,1.934309657105526
Batting_G,Batting_G,Offense,0.0187,-1.2844,0.0162,,0.2513,,1.1558,0.016836966180194146,0.004232311900453145,1.3357737393286078,0.2513086425741547,-0.0135,0.0509,0.741,0.9341,2.1333351824322107e-08,35.32598835098025,-1.0065984811687396,5.5582874146837415,False,80,+,,0.18417943890639865,3,6,0.2700329308452236,Batting_G has a not statistically significant positive relationship with WinPct and explains approximately 1.7% of the variation in team winning percentage. Batting_G residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,6 observations exceed the leverage threshold of 0.0500. | 3 observations exceed the Cook's distance threshold of 0.0500.,1.7841794389063987
Pitching_G,Pitching_G,Pitching,0.0187,-1.2844,0.0162,,0.2513,,1.1558,0.016836966180194146,0.004232311900453145,1.3357737393286078,0.2513086425741547,-0.0135,0.0509,0.741,0.9341,2.1333351824322107e-08,35.32598835098025,-1.0065984811687396,5.5582874146837415,False,80,+,,0.18417943890639865,3,6,0.2700329308452236,Pitching_G has a not statistically significant positive relationship with WinPct and explains approximately 1.7% of the variation in team winning percentage. Pitching_G residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,6 observations exceed the leverage threshold of 0.0500. | 3 observations exceed the Cook's distance threshold of 0.0500.,1.7841794389063987
Pitching_GS,Pitching_GS,Pitching,0.0142,-0.856,0.0163,,0.3869,,0.8701,0.009612297122421731,-0.00308498111959854,0.7570360308094103,0.38692746627048713,-0.0183,0.0468,0.7004,0.9286,6.12656044363775e-08,33.21609450732159,-0.9964885505196193,5.448034033041557,False,80,+,,0.20672129117449706,3,6,0.2675743262017214,Pitching_GS has a not statistically significant positive relationship with WinPct and explains approximately 1.0% of the variation in team winning percentage. Pitching_GS residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,6 observations exceed the leverage threshold of 0.0500. | 3 observations exceed the Cook's distance threshold of 0.0500.,1.8067212911744972
Pitching_CG,Pitching_CG,Pitching,0.0049,0.4859,0.0067,,0.4717,,0.7232,0.006660591087054635,-0.006074529540034401,0.5230096582585014,0.47172379654874186,-0.0085,0.0182,0.388,0.6662,1.0486659491800066e-06,27.535983452371944,-0.927912456557574,5.1947001908171275,False,80,+,,0.13112239832805092,7,4,0.10566974109274785,Pitching_CG has a not statistically significant positive relationship with WinPct and explains approximately 0.7% of the variation in team winning percentage. Pitching_CG residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,4 observations exceed the leverage threshold of 0.0500. | 7 observations exceed the Cook's distance threshold of 0.0500.,2.0311223983280513
Batting_3B,Batting_3B,Offense,0.0012,0.4821,0.0017,,0.5021,,0.6742,0.005794522770998567,-0.006951701296039836,0.4546070067905897,0.5021486538773412,-0.0023,0.0046,0.9174,0.7452,9.330894262290146e-08,32.37469977127599,-0.9680009221618973,5.442193028848798,False,80,+,,0.1649168310055518,3,5,0.1722286704688727,Batting_3B has a not statistically significant positive relationship with WinPct and explains approximately 0.6% of the variation in team winning percentage. Batting_3B residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,5 observations exceed the leverage threshold of 0.0500. | 3 observations exceed the Cook's distance threshold of 0.0500.,1.7149168310055518
Batting_CS,Batting_CS,Offense,0.0006,0.4794,0.0012,,0.5857,,0.5473,0.0038261267908121788,-0.008945333122126087,0.2995841365743988,0.5857059816763626,-0.0017,0.0029,0.8399,0.8902,1.6599566580430376e-06,26.617438131098623,-0.9617982871265645,5.070026004390093,False,80,+,,0.16570996067329158,4,6,0.1209775307435012,Batting_CS has a not statistically significant positive relationship with WinPct and explains approximately 0.4% of the variation in team winning percentage. Batting_CS residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,6 observations exceed the leverage threshold of 0.0500. | 4 observations exceed the Cook's distance threshold of 0.0500.,1.8657099606732916
Batting_SH,Batting_SH,Offense,0.0005,0.4904,0.0012,,0.7027,,0.3831,0.0018780529028574744,-0.010918382316336572,0.14676375652185344,0.7026895025284081,-0.0019,0.0028,0.8468,0.9089,5.535418840680938e-07,28.813856832708492,-0.9625010393057579,5.222279020994864,False,80,+,,0.13736775172684793,4,8,0.12164906461842834,Batting_SH has a not statistically significant positive relationship with WinPct and explains approximately 0.2% of the variation in team winning percentage. Batting_SH residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,8 observations exceed the leverage threshold of 0.0500. | 4 observations exceed the Cook's distance threshold of 0.0500.,1.937367751726848
Pitching_GF,Pitching_GF,Pitching,-0.002,0.6876,0.0061,,0.7412,,-0.3315,0.0014068733882124373,-0.011395602593989862,0.1098907266194654,0.7411576016027384,-0.0142,0.0101,0.4599,0.7218,9.622038894117947e-07,27.708078930964,-0.9477591600593566,5.172425827820948,False,80,-,,0.1673902231623558,6,9,0.1376443418013853,Pitching_GF has a not statistically significant negative relationship with WinPct and explains approximately 0.1% of the variation in team winning percentage. Pitching_GF residuals do not exhibit significant heteroskedasticity under either the Breusch-Pagan or White tests. Residual normality is rejected at the 5% level.,9 observations exceed the leverage threshold of 0.0500. | 6 observations exceed the Cook's distance threshold of 0.0500.,2.217390223162356
